Roll No,Gender,District,Rank,Apt_BAR,p1,p2,QuotaGroup,QuotaType,phaseNo,valid,amount,admitted,year
6686,Female,Banke,5942,,30,,Open,Female Quota,1,1,500,0,2079
1189,Female,Banke,5624,1,4,,Open,Female Quota,1,1,1000,0,2079
2209,Female,Banke,2069,1,4,,Open,Female Quota,2,1,500,0,2079
2203,Male,Banke,1308,,6,27,Open,Open,1,1,1500,1,2079
1026,Male,Banke,549,,11,,IOE/TU Teacher/Staff,IOE/TU Teacher/Staff Quota,1,0,500,0,2079
1026,Male,Banke,549,,12,7,Open,Open,1,1,1500,0,2079
5213,Male,Banke,590,,27,28,Open,Open,1,1,1000,1,2079
4734,Male,Banke,677,,2,,Open,Open,1,1,500,0,2079
90,Male,Banke,142,,1,2,Open,Open,1,1,1000,1,2079
1876,Male,Banke,614,,2,,Open,Open,1,1,500,0,2079
4652,Male,Banke,2028,,2,,Open,Open,1,1,500,0,2079
2320,Male,Banke,696,,2,,Open,Open,1,1,500,0,2079
271,Male,Banke,4487,,2,6,Open,Open,2,1,1000,0,2079
1876,Male,Banke,614,,2,,Open,Open,2,1,500,0,2079
6273,Male,Banke,4307,,28,,Open,Open,3,1,500,0,2079
4734,Male,Banke,677,,8,,Open,Open,3,1,500,0,2079
2896,Female,Bara,4562,,11,12,Open,Female Quota,1,1,1000,0,2079
4365,Female,Bara,2956,,1,,Reserverd Quota,Female,1,1,500,1,2079
1631,Female,Bara,1083,,11,12,Open,Female Quota,1,1,1500,0,2079
2941,Male,Bara,1160,,2,,Open,Open,1,1,500,0,2079
775,Male,Bara,126,,1,2,Open,Open,1,1,1000,1,2079
1395,Male,Bara,413,,12,,Open,Open,1,1,500,0,2079
1475,Male,Bara,2286,,28,,Open,Open,1,1,500,0,2079
2176,Male,Bara,495,,12,7,Open,Open,1,1,2000,1,2079
3544,Male,Bara,50,,1,,Open,Open,1,1,500,1,2079
3659,Male,Bara,56,,11,,Open,Open,1,1,500,0,2079
4590,Male,Bara,631,,12,1,Open,Open,1,1,2000,0,2079
3857,Male,Bara,648,,5,27,Open,Open,1,1,1500,1,2079
166,Male,Bara,249,,12,1,Open,Open,1,1,2000,1,2079
1865,Male,Bara,79,,11,12,Open,Open,1,1,1000,1,2079
5702,Male,Bara,548,,8,,Open,Open,1,1,500,0,2079
2554,Male,Bara,4512,,29,,Reserverd Quota,,1,0,500,0,2079
5709,Male,Bara,1061,,28,,Open,Open,1,1,500,1,2079
1208,Male,Bara,1176,,1,2,Open,Open,1,1,1000,0,2079
2803,Male,Bara,813,,11,7,Reserverd Quota,Madheshi,1,1,1000,1,2079
7750,Male,Bara,1766,,12,,Open,Open,1,1,500,0,2079
7651,Male,Bara,1388,,2,,Open,Open,1,1,500,0,2079
2744,Male,Bara,3149,,2,,Open,Open,1,1,500,0,2079
3264,Male,Bara,1956,,28,2,Open,Open,1,1,2500,0,2079
6312,Male,Bara,1250,,8,,Open,Open,1,1,500,0,2079
3184,Male,Bara,1526,,6,,Open,Open,1,1,500,1,2079
6238,Male,Bara,2294,,28,,Open,Open,1,1,500,0,2079
265,Male,Bara,266,,12,5,Open,Open,1,1,1000,0,2079
6890,Male,Bara,664,,2,,Open,Open,1,1,500,0,2079
325,Male,Bara,3847,,28,30,Open,Open,1,1,1000,0,2079
5532,Male,Bara,4174,,30,,Open,Open,1,1,500,0,2079
8165,Male,Bara,6477,,6,30,Open,Open,1,1,1500,1,2079
8820,Male,Bara,1506,,2,12,Open,Open,1,1,1000,0,2079
4528,Male,Bara,1871,,6,,Open,Open,2,1,500,0,2079
6028,Male,Bara,2426,,2,,Open,Open,2,1,500,0,2079
1475,Male,Bara,2286,,28,6,Open,Open,2,1,1000,0,2079
1758,Male,Bara,2403,,6,,Open,Open,2,1,500,0,2079
1395,Male,Bara,413,,12,,Open,Open,2,1,500,0,2079
2496,Male,Bara,3691,,5,6,Open,Open,2,1,1000,0,2079
7651,Male,Bara,1388,,2,,Open,Open,2,1,500,0,2079
6312,Male,Bara,1250,,12,8,Open,Open,2,1,1000,0,2079
4528,Male,Bara,1871,,6,,Open,Open,3,1,500,0,2079
7651,Male,Bara,1388,,1,2,Open,Open,4,1,1000,0,2079
3657,Male,Bara,5701,,28,,Open,Open,4,1,500,0,2079
1208,Male,Bara,1176,,2,,Open,Open,4,1,500,0,2079
6755,Male,Bara,4063,,6,,Open,Open,4,1,500,1,2079
1944,Female,Bardiya,881,,27,28,Open,Female Quota,1,1,1500,1,2079
7187,Female,Bardiya,2392,1,1,2,Open,Female Quota,1,1,2500,0,2079
7187,Female,Bardiya,2392,1,1,,IOE/TU Teacher/Staff,IOE/TU Teacher/Staff Quota,1,0,500,0,2079
5881,Female,Bardiya,2395,1,4,2,Open,Female Quota,1,1,2000,0,2079
2135,Female,Bardiya,1436,,11,12,Open,Female Quota,1,1,3000,1,2079
8773,Female,Bardiya,1904,,27,28,Open,Female Quota,1,1,1000,1,2079
5840,Female,Bardiya,3077,1,4,2,Open,Female Quota,1,1,1500,0,2079
5881,Female,Bardiya,2395,1,2,10,Open,Female Quota,2,1,1000,0,2079
5840,Female,Bardiya,3077,1,3,4,Open,Female Quota,2,1,2000,0,2079
7187,Female,Bardiya,2392,1,2,,Open,Female Quota,2,1,500,0,2079
7187,Female,Bardiya,2392,1,2,,Open,Female Quota,3,1,500,0,2079
7187,Female,Bardiya,2392,1,1,2,Open,Female Quota,4,1,1000,0,2079
2041,Male,Bardiya,11,,11,,Open,Open,1,1,500,1,2079
5105,Male,Bardiya,2045,,28,,Open,Open,1,1,500,0,2079
2131,Male,Bardiya,429,,2,,Open,Open,1,1,500,1,2079
5231,Male,Bardiya,1275,,28,,Open,Open,1,1,500,0,2079
2346,Male,Bardiya,1564,1,4,,Open,Open,1,1,1000,0,2079
9081,Male,Bardiya,6259,,1,3,Reserverd Quota,,1,0,1500,0,2079
4359,Male,Bardiya,1682,,12,,Open,Open,1,1,500,0,2079
5810,Male,Bardiya,607,,1,2,Open,Open,1,1,1000,0,2079
2346,Male,Bardiya,1564,1,4,,Open,Open,2,1,500,0,2079
347,Female,Bhaktapur,884,1,3,4,Open,Female Quota,1,1,2000,1,2079
2900,Female,Bhaktapur,2440,,12,,Open,Female Quota,1,1,500,0,2079
2224,Female,Bhaktapur,1043,,12,8,Open,Female Quota,1,1,1000,0,2079
5047,Female,Bhaktapur,2878,1,4,,Open,Female Quota,1,1,1000,0,2079
2031,Female,Bhaktapur,1603,1,4,,Open,Female Quota,1,1,1000,0,2079
4880,Female,Bhaktapur,3388,1,3,4,Open,Female Quota,1,1,1500,0,2079
528,Female,Bhaktapur,1393,1,4,,Open,Female Quota,1,1,1000,0,2079
2434,Female,Bhaktapur,3271,,2,,Open,Female Quota,1,1,500,0,2079
4725,Female,Bhaktapur,521,,12,27,Open,Female Quota,1,1,2000,1,2079
1008,Female,Bhaktapur,3762,,27,28,Open,Female Quota,1,1,4000,1,2079
7063,Female,Bhaktapur,2732,,6,,Open,Female Quota,1,1,500,1,2079
4423,Female,Bhaktapur,1456,1,4,,Open,Female Quota,1,1,1000,0,2079
8682,Female,Bhaktapur,6468,1,3,,IOE/TU Teacher/Staff,IOE/TU Teacher/Staff Quota,1,0,1000,0,2079
8682,Female,Bhaktapur,6468,1,3,4,Open,Female Quota,1,1,1000,0,2079
6077,Female,Bhaktapur,1690,1,3,4,Open,Female Quota,1,1,1500,0,2079
1287,Female,Bhaktapur,1744,,11,7,Open,Female Quota,1,1,1000,1,2079
2576,Female,Bhaktapur,3684,,12,11,Open,Female Quota,1,1,1000,0,2079
2190,Female,Bhaktapur,2897,,1,2,Open,Female Quota,1,1,1000,0,2079
1287,Female,Bhaktapur,1744,,11,7,Reserverd Quota,Adivashi/Janajati,1,1,1000,1,2079
1890,Female,Bhaktapur,3863,,12,,Open,Female Quota,1,1,500,0,2079
528,Female,Bhaktapur,1393,1,4,,Open,Female Quota,2,1,500,0,2079
1008,Female,Bhaktapur,3762,,29,28,Open,Female Quota,2,1,1000,1,2079
4725,Female,Bhaktapur,521,,12,2,Open,Female Quota,2,1,1000,1,2079
5047,Female,Bhaktapur,2878,1,3,4,Open,Female Quota,3,1,1000,0,2079
4725,Female,Bhaktapur,521,,11,,Open,Female Quota,3,1,500,1,2079
341,Male,Bhaktapur,236,,12,5,Open,Open,1,1,2500,1,2079
773,Male,Bhaktapur,784,1,3,4,Open,Open,1,1,1500,1,2079
5631,Male,Bhaktapur,533,1,3,4,Open,Open,1,1,1500,1,2079
5089,Male,Bhaktapur,2535,,11,,IOE/TU Teacher/Staff,IOE/TU Teacher/Staff Quota,1,0,500,0,2079
2341,Male,Bhaktapur,473,,2,,Open,Open,1,1,500,1,2079
1446,Male,Bhaktapur,783,,12,,Open,Open,1,1,500,0,2079
1023,Male,Bhaktapur,432,,11,12,Open,Open,1,1,1000,0,2079
2866,Male,Bhaktapur,324,,8,,Open,Open,1,1,500,1,2079
2254,Male,Bhaktapur,157,,1,2,Open,Open,1,1,1000,1,2079
1534,Male,Bhaktapur,2657,,3,,Reserverd Quota,,1,0,1000,0,2079
5688,Male,Bhaktapur,636,,11,12,Open,Open,1,1,1000,0,2079
879,Male,Bhaktapur,1206,,28,,Open,Open,1,1,500,1,2079
4006,Male,Bhaktapur,1906,,27,28,Open,Open,1,1,3000,1,2079
5620,Male,Bhaktapur,749,,27,28,Open,Open,1,1,1000,1,2079
7688,Male,Bhaktapur,472,,2,,Open,Open,1,1,500,0,2079
2238,Male,Bhaktapur,1326,1,3,,Open,Open,1,1,1000,0,2079
3996,Male,Bhaktapur,163,,11,12,Open,Open,1,1,1000,1,2079
2237,Male,Bhaktapur,370,,12,7,Open,Open,1,1,1500,0,2079
636,Male,Bhaktapur,196,,12,1,Open,Open,1,1,1500,1,2079
68,Male,Bhaktapur,1490,1,3,4,Open,Open,1,1,1500,0,2079
86,Male,Bhaktapur,88,,11,12,Open,Open,1,1,1000,1,2079
5649,Male,Bhaktapur,650,1,3,4,Open,Open,1,1,1500,1,2079
9241,Male,Bhaktapur,659,,12,,Open,Open,1,1,500,0,2079
3186,Male,Bhaktapur,537,,2,27,Open,Open,1,1,1000,1,2079
756,Male,Bhaktapur,867,,12,,Open,Open,1,1,500,0,2079
846,Male,Bhaktapur,483,,2,,Open,Open,1,1,500,1,2079
6384,Male,Bhaktapur,83,,7,8,Open,Open,1,1,1000,1,2079
3517,Male,Bhaktapur,953,,10,,Open,Open,1,1,500,0,2079
3186,Male,Bhaktapur,537,,1,9,Reserverd Quota,,1,0,1000,1,2079
3063,Male,Bhaktapur,326,,11,,Reserverd Quota,,1,0,500,0,2079
373,Male,Bhaktapur,1123,,6,,Open,Open,1,1,500,0,2079
3063,Male,Bhaktapur,326,,11,,Open,Open,1,1,500,0,2079
846,Male,Bhaktapur,483,,2,,Open,Open,2,1,500,1,2079
898,Male,Bhaktapur,2123,,2,,Open,Open,2,1,500,0,2079
1702,Male,Bhaktapur,5856,,2,6,Open,Open,2,1,1000,0,2079
2341,Male,Bhaktapur,473,,2,,Open,Open,2,1,500,1,2079
2247,Male,Bhaktapur,1545,1,2,3,Open,Open,2,1,2000,0,2079
5620,Male,Bhaktapur,749,,27,8,Open,Open,2,1,1000,1,2079
1702,Male,Bhaktapur,5856,,6,,Open,Open,3,1,500,0,2079
5620,Male,Bhaktapur,749,,27,,Open,Open,3,1,500,1,2079
373,Male,Bhaktapur,1123,,2,,Open,Open,4,1,500,0,2079
7362,Male,Bhaktapur,3029,,1,2,Open,Open,4,1,1500,0,2079
1766,Female,Bhojpur,1222,1,4,,Open,Female Quota,1,1,1000,1,2079
8844,Female,Bhojpur,2869,,8,28,Open,Female Quota,1,1,1000,0,2079
1570,Female,Bhojpur,2618,1,2,4,Open,Female Quota,1,1,2500,0,2079
2678,Female,Bhojpur,3125,,6,,Open,Female Quota,1,1,500,0,2079
2678,Female,Bhojpur,3125,,6,,Open,Female Quota,3,1,500,0,2079
4799,Male,Bhojpur,3819,,10,6,Open,Open,1,1,1000,0,2079
355,Male,Bhojpur,359,,1,2,Open,Open,1,1,1000,1,2079
8492,Male,Bhojpur,6640,,12,,Government Sponsored,Government Sponsored Quota,1,0,500,0,2079
4799,Male,Bhojpur,3819,,10,,Open,Open,2,1,500,0,2079
4799,Male,Bhojpur,3819,,10,,Open,Open,3,1,500,0,2079
4422,Female,Chitawan,153,,11,12,Open,Female Quota,1,1,1500,1,2079
1862,Female,Chitawan,1847,,28,27,Open,Female Quota,1,1,1000,1,2079
1199,Female,Chitawan,194,,11,12,Open,Female Quota,1,1,1000,1,2079
7496,Female,Chitawan,1241,1,4,3,Open,Female Quota,1,1,1500,1,2079
2244,Female,Chitawan,3810,,28,10,Open,Female Quota,1,1,1000,0,2079
6169,Female,Chitawan,277,,11,12,Open,Female Quota,1,1,1000,0,2079
4670,Female,Chitawan,107,,11,12,Open,Female Quota,1,1,1500,1,2079
1301,Female,Chitawan,1726,1,4,2,Open,Female Quota,1,1,1500,0,2079
2143,Female,Chitawan,143,,11,12,Open,Female Quota,1,1,1000,1,2079
523,Female,Chitawan,104,,11,7,Open,Female Quota,1,1,1500,1,2079
1337,Female,Chitawan,661,1,3,4,Open,Female Quota,1,1,1500,1,2079
5369,Female,Chitawan,4689,1,27,28,Open,Female Quota,1,1,2000,1,2079
3347,Female,Chitawan,561,1,8,3,Open,Female Quota,1,1,1500,1,2079
8767,Female,Chitawan,5837,,12,,Open,Female Quota,1,1,500,0,2079
1059,Female,Chitawan,1461,1,3,4,Open,Female Quota,1,1,1500,0,2079
6169,Female,Chitawan,277,,12,,Open,Female Quota,2,1,500,0,2079
3755,Female,Chitawan,5558,,30,6,Open,Female Quota,2,1,1000,1,2079
1059,Female,Chitawan,1461,1,4,3,Open,Female Quota,2,1,1000,0,2079
2244,Female,Chitawan,3810,,27,28,Open,Female Quota,2,1,1000,0,2079
5369,Female,Chitawan,4689,1,28,30,Open,Female Quota,3,1,1000,1,2079
2244,Female,Chitawan,3810,,27,28,Open,Female Quota,3,1,1000,0,2079
2035,Male,Chitawan,971,,7,,Open,Open,1,1,500,0,2079
847,Male,Chitawan,474,,9,10,Open,Open,1,1,1500,1,2079
164,Male,Chitawan,1116,,27,28,Open,Open,1,1,1500,1,2079
2891,Male,Chitawan,703,,8,10,Open,Open,1,1,1000,1,2079
1933,Male,Chitawan,589,,12,,Open,Open,1,1,500,0,2079
4990,Male,Chitawan,2617,,1,11,Reserverd Quota,,1,0,2500,0,2079
5601,Male,Chitawan,342,,11,12,Open,Open,1,1,1000,0,2079
5394,Male,Chitawan,333,,1,2,Open,Open,1,1,1000,1,2079
403,Male,Chitawan,41,,11,,Open,Open,1,1,500,1,2079
4208,Male,Chitawan,1075,,12,6,Open,Open,1,1,1000,0,2079
1852,Male,Chitawan,940,,2,,Open,Open,1,1,500,0,2079
1468,Male,Chitawan,1134,1,4,,Open,Open,1,1,1000,0,2079
2123,Male,Chitawan,34,,11,12,Open,Open,1,1,1000,1,2079
281,Male,Chitawan,2489,,28,,Open,Open,1,1,500,0,2079
9360,Male,Chitawan,5278,1,1,9,Reserverd Quota,Adivashi/Janajati,1,1,3500,1,2079
3238,Male,Chitawan,1429,,6,,Open,Open,1,1,500,0,2079
2909,Male,Chitawan,164,,12,7,Open,Open,1,1,1000,1,2079
2448,Male,Chitawan,119,,11,12,Open,Open,1,1,1500,1,2079
2239,Male,Chitawan,297,,12,7,Open,Open,1,1,1500,1,2079
2227,Male,Chitawan,110,,11,12,Open,Open,1,1,1000,1,2079
2241,Male,Chitawan,39,,1,,Open,Open,1,1,500,1,2079
2240,Male,Chitawan,55,,1,,Open,Open,1,1,500,1,2079
1201,Male,Chitawan,223,,11,12,Open,Open,1,1,1000,1,2079
5473,Male,Chitawan,115,,27,9,Open,Open,1,1,1000,1,2079
2471,Male,Chitawan,256,,12,2,Open,Open,1,1,1500,0,2079
8627,Male,Chitawan,175,,7,8,Open,Open,1,1,1500,1,2079
1243,Male,Chitawan,687,,27,5,Open,Open,1,1,1500,1,2079
3458,Male,Chitawan,1515,,10,27,Open,Open,1,1,1500,0,2079
6020,Male,Chitawan,165,,12,1,Open,Open,1,1,1500,1,2079
2825,Male,Chitawan,349,,1,2,Open,Open,1,1,1000,1,2079
2825,Male,Chitawan,349,,2,,Government Sponsored,Government Sponsored Quota,1,0,500,1,2079
4631,Male,Chitawan,1501,,12,2,Open,Open,1,1,1000,0,2079
3061,Male,Chitawan,111,,7,8,Open,Open,1,1,1000,1,2079
2949,Male,Chitawan,113,,1,11,Open,Open,1,1,1000,1,2079
3062,Male,Chitawan,921,,10,,Open,Open,1,1,500,0,2079
2117,Male,Chitawan,644,,7,,Open,Open,1,1,500,0,2079
160,Male,Chitawan,89,,1,2,Open,Open,1,1,1000,1,2079
4643,Male,Chitawan,415,,11,12,Open,Open,1,1,1000,1,2079
1930,Male,Chitawan,785,,8,10,Open,Open,1,1,1000,0,2079
1788,Male,Chitawan,2782,,9,10,Open,Open,1,1,1000,0,2079
1556,Male,Chitawan,262,,12,2,Open,Open,1,1,1000,1,2079
336,Male,Chitawan,4585,,1,11,Reserverd Quota,,1,0,2000,0,2079
3799,Male,Chitawan,1741,,2,,Open,Open,1,1,500,0,2079
6372,Male,Chitawan,1476,,5,,Open,Open,1,1,500,0,2079
1141,Male,Chitawan,1612,,6,,Open,Open,1,1,500,1,2079
1466,Male,Chitawan,3618,,8,,Open,Open,1,1,500,0,2079
7824,Male,Chitawan,6365,,28,30,Open,Open,2,1,1000,0,2079
8136,Male,Chitawan,3964,,6,,Open,Open,2,1,500,0,2079
5394,Male,Chitawan,333,,1,,Open,Open,2,1,500,1,2079
1201,Male,Chitawan,223,,8,,Open,Open,2,1,500,1,2079
4631,Male,Chitawan,1501,,2,,Open,Open,2,1,500,0,2079
2035,Male,Chitawan,971,,8,,Open,Open,2,1,500,0,2079
4643,Male,Chitawan,415,,1,2,Open,Open,4,1,1000,1,2079
97,Male,Chitawan,1300,,2,,Open,Open,4,1,500,0,2079
8127,Male,Chitawan,5449,,28,6,Open,Open,4,1,1000,0,2079
1015,Female,Dadeldhura,1609,,2,,Open,Female Quota,1,1,500,1,2079
5502,Female,Dadeldhura,3260,,3,,Reserverd Quota,,1,0,1000,0,2079
3623,Female,Dadeldhura,2951,,1,5,Reserverd Quota,,1,0,1000,0,2079
1015,Female,Dadeldhura,1609,,2,,Open,Female Quota,2,1,500,1,2079
1015,Female,Dadeldhura,1609,,2,,Open,Female Quota,4,1,500,1,2079
5113,Male,Dadeldhura,571,,9,10,Open,Open,1,1,1000,1,2079
1115,Male,Dadeldhura,426,,1,2,Open,Open,1,1,1500,0,2079
6832,Male,Dadeldhura,1508,,1,,Reserverd Quota,,1,0,500,0,2079
2342,Male,Dadeldhura,371,,11,12,Open,Open,1,1,1500,0,2079
2342,Male,Dadeldhura,371,,11,,IOE/TU Teacher/Staff,IOE/TU Teacher/Staff Quota,1,0,500,0,2079
6437,Male,Dadeldhura,6541,,1,,Reserverd Quota,,1,0,500,0,2079
2342,Male,Dadeldhura,371,,12,11,Open,Open,2,1,1000,0,2079
2342,Male,Dadeldhura,371,,12,11,Open,Open,3,1,1000,0,2079
128,Male,Dailekh,260,,1,,Open,Open,1,1,500,0,2079
3738,Male,Dailekh,1889,,10,,Government Sponsored,Government Sponsored Quota,1,1,500,1,2079
3315,Male,Dailekh,781,,2,,Open,Open,1,1,500,0,2079
2151,Male,Dailekh,23,,9,,Open,Open,1,1,500,1,2079
3924,Male,Dailekh,4812,,1,9,Reserverd Quota,,1,0,1500,0,2079
6716,Male,Dailekh,2338,,10,5,Open,Open,2,1,1500,0,2079
2318,Male,Dailekh,1257,,2,,Open,Open,2,1,500,0,2079
7486,Male,Dailekh,1973,,6,,Open,Open,2,1,500,0,2079
7486,Male,Dailekh,1973,,6,,Open,Open,3,1,500,0,2079
2318,Male,Dailekh,1257,,2,,Open,Open,4,1,500,0,2079
1921,Female,Dang,267,,1,,Open,Female Quota,1,1,500,1,2079
3884,Female,Dang,5850,1,3,11,Reserverd Quota,Tharu,1,1,1000,1,2079
2884,Female,Dang,1152,,5,6,Open,Female Quota,1,1,1000,1,2079
2546,Female,Dang,705,1,2,3,Open,Female Quota,1,1,2500,1,2079
2260,Female,Dang,516,,11,12,Open,Female Quota,1,1,1000,0,2079
9312,Female,Dang,4720,,29,30,Open,Female Quota,1,1,3000,0,2079
1557,Male,Dang,2126,,12,10,Open,Open,1,1,1000,0,2079
854,Male,Dang,1197,,12,,Open,Open,1,1,500,0,2079
811,Male,Dang,4546,,30,,Open,Open,1,1,500,0,2079
5075,Male,Dang,278,,1,2,Open,Open,1,1,1000,1,2079
176,Male,Dang,97,,1,,Open,Open,1,1,500,1,2079
1813,Male,Dang,103,,12,1,Open,Open,1,1,1000,1,2079
1154,Male,Dang,287,,1,12,Open,Open,1,1,1500,1,2079
2141,Male,Dang,2491,,10,,Open,Open,1,1,500,0,2079
3704,Male,Dang,1051,,12,,Open,Open,1,1,500,0,2079
676,Male,Dang,1331,,5,,Reserverd Quota,,1,0,500,0,2079
1109,Male,Dang,180,,11,7,Open,Open,1,1,2000,1,2079
1700,Male,Dang,279,,7,12,Open,Open,1,1,2000,1,2079
1129,Male,Dang,1617,,11,,IOE/TU Teacher/Staff,IOE/TU Teacher/Staff Quota,1,0,500,0,2079
1129,Male,Dang,1617,,12,8,Open,Open,1,1,1000,0,2079
5334,Male,Dang,4014,,30,,Open,Open,1,1,500,0,2079
1107,Male,Dang,2302,,5,,Reserverd Quota,,1,0,500,0,2079
534,Male,Dang,276,,1,2,Open,Open,1,1,2000,1,2079
192,Male,Dang,397,,11,1,Reserverd Quota,Others,1,1,1000,1,2079
5792,Male,Dang,1783,,27,29,Open,Open,1,1,1000,0,2079
812,Male,Dang,80,,7,,Open,Open,1,1,500,1,2079
1869,Male,Dang,1584,,6,,Open,Open,1,1,500,1,2079
518,Male,Dang,379,,7,12,Open,Open,1,1,1500,1,2079
3950,Male,Dang,957,,6,,Open,Open,1,1,500,0,2079
3313,Male,Dang,907,,27,28,Open,Open,1,1,1500,1,2079
59,Male,Dang,1383,,10,,Open,Open,1,1,500,0,2079
3557,Male,Dang,1969,,28,,Open,Open,1,1,500,0,2079
4987,Male,Dang,5208,,30,,Open,Open,1,1,500,0,2079
811,Male,Dang,4546,,6,,Open,Open,2,1,500,0,2079
2946,Male,Dang,2958,,6,,Open,Open,2,1,500,0,2079
1700,Male,Dang,279,,12,7,Open,Open,2,1,1000,1,2079
1557,Male,Dang,2126,,8,,Open,Open,2,1,500,0,2079
4216,Female,Darchula,1358,1,4,,Open,Female Quota,1,1,1000,0,2079
1651,Female,Darchula,1850,,6,,Open,Female Quota,1,1,500,0,2079
7229,Female,Darchula,4108,,28,29,Open,Female Quota,2,1,1500,1,2079
3839,Female,Darchula,1198,1,10,6,Open,Female Quota,2,1,2000,1,2079
3604,Male,Darchula,645,,2,1,Open,Open,1,1,1000,0,2079
417,Male,Darchula,312,,7,11,Open,Open,1,1,1500,0,2079
774,Male,Darchula,36,,1,,Open,Open,1,1,500,1,2079
342,Male,Darchula,811,,1,2,Open,Open,1,1,1000,0,2079
364,Male,Darchula,1793,,8,,Open,Open,1,1,500,0,2079
364,Male,Darchula,1793,,7,8,Open,Open,2,1,1000,0,2079
5930,Female,Dhading,1941,,10,27,Open,Female Quota,1,1,2500,1,2079
3027,Female,Dhading,2018,1,4,,Open,Female Quota,1,1,1000,0,2079
5571,Female,Dhading,4210,,30,29,Open,Female Quota,1,1,1500,0,2079
3027,Female,Dhading,2018,1,3,4,Open,Female Quota,2,1,1000,0,2079
3267,Male,Dhading,152,,7,12,Open,Open,1,1,1000,1,2079
6455,Male,Dhading,840,,1,5,Reserverd Quota,Others,1,1,1000,1,2079
4128,Male,Dhading,525,,9,10,Open,Open,1,1,1000,0,2079
4729,Male,Dhading,222,,1,2,Open,Open,1,1,1000,0,2079
1936,Male,Dhading,149,,9,,Open,Open,1,1,500,1,2079
3327,Male,Dhading,1201,,1,,Reserverd Quota,,1,0,500,0,2079
2754,Male,Dhading,2124,,27,29,Open,Open,1,1,2000,0,2079
1145,Male,Dhading,1792,,1,5,Reserverd Quota,,1,0,1000,0,2079
3537,Male,Dhading,1355,,28,27,Open,Open,1,1,1000,1,2079
2310,Male,Dhading,1369,,2,,Open,Open,1,1,500,0,2079
2299,Male,Dhading,3473,,28,,Open,Open,1,1,500,0,2079
3531,Male,Dhading,1778,,29,,Open,Open,1,1,500,0,2079
7928,Male,Dhading,2113,,1,2,Open,Open,1,1,1000,0,2079
1849,Male,Dhading,651,,7,8,Open,Open,1,1,1000,0,2079
2756,Male,Dhading,860,,6,10,Open,Open,1,1,1000,1,2079
1263,Male,Dhading,611,,1,2,Open,Open,1,1,1500,0,2079
3168,Male,Dhading,460,,1,2,Open,Open,1,1,1000,0,2079
2335,Male,Dhading,652,,10,,Open,Open,1,1,500,0,2079
4127,Male,Dhading,4325,1,4,,Open,Open,1,1,1000,0,2079
3237,Male,Dhading,407,,2,,Open,Open,2,1,500,1,2079
2756,Male,Dhading,860,,2,,Open,Open,2,1,500,1,2079
1263,Male,Dhading,611,,2,,Open,Open,2,1,500,0,2079
1263,Male,Dhading,611,,1,2,Open,Open,3,1,1000,0,2079
3531,Male,Dhading,1778,,2,,Open,Open,4,1,500,0,2079
2310,Male,Dhading,1369,,1,2,Open,Open,4,1,1000,0,2079
8070,Female,Dhankuta,5088,1,4,8,Open,Female Quota,1,1,2000,0,2079
5249,Female,Dhankuta,4603,,11,,IOE/TU Teacher/Staff,IOE/TU Teacher/Staff Quota,1,0,500,1,2079
5249,Female,Dhankuta,4603,,12,,Open,Female Quota,1,1,500,1,2079
468,Female,Dhankuta,4438,,1,11,Reserverd Quota,,1,0,1000,0,2079
665,Female,Dhankuta,4538,,12,,Open,Female Quota,1,1,500,0,2079
1931,Female,Dhankuta,2425,,2,,Open,Female Quota,1,1,500,0,2079
5249,Female,Dhankuta,4603,,28,6,Open,Female Quota,2,1,1500,1,2079
2168,Male,Dhankuta,399,,12,8,Open,Open,1,1,1000,1,2079
9166,Male,Dhankuta,6063,1,4,2,Open,Open,1,1,1500,0,2079
2228,Male,Dhankuta,586,,9,,Open,Open,1,1,500,0,2079
2229,Male,Dhankuta,464,,5,,Open,Open,1,1,500,1,2079
1035,Male,Dhankuta,4148,,9,10,Open,Open,1,1,3000,0,2079
1822,Female,Dhanusha,2488,,30,,Open,Female Quota,1,1,500,0,2079
2104,Female,Dhanusha,2575,,8,,Open,Female Quota,1,1,500,0,2079
214,Female,Dhanusha,172,,11,,Open,Female Quota,1,1,500,0,2079
5461,Female,Dhanusha,3741,,2,,Open,Female Quota,1,1,500,0,2079
484,Female,Dhanusha,5059,1,4,,Open,Female Quota,1,1,1000,0,2079
2820,Female,Dhanusha,864,1,3,4,Open,Female Quota,1,1,1500,1,2079
4989,Female,Dhanusha,2015,1,3,4,Open,Female Quota,1,1,3000,0,2079
5152,Female,Dhanusha,4139,,12,8,Open,Female Quota,1,1,1000,0,2079
186,Female,Dhanusha,5213,1,3,,Reserverd Quota,,1,0,1000,0,2079
186,Female,Dhanusha,5213,1,4,,Open,Female Quota,1,1,500,0,2079
494,Female,Dhanusha,526,,1,2,Open,Female Quota,1,1,1500,1,2079
7578,Female,Dhanusha,2265,,11,,Open,Female Quota,1,1,500,0,2079
3302,Female,Dhanusha,5648,,11,,Reserverd Quota,,1,0,500,0,2079
3302,Female,Dhanusha,5648,,12,,Open,Female Quota,1,1,500,0,2079
1532,Female,Dhanusha,1537,,11,12,Open,Female Quota,1,1,1000,0,2079
2574,Female,Dhanusha,4926,,1,2,Open,Female Quota,1,1,1000,0,2079
